2019-06-14 16:49:14,b'RT @glorioustoshi1: \xf0\x9f\x8f\x8f\xf0\x9f\x8f\x86\xf0\x9f\x8e\x8aWorld Cup Contest\xf0\x9f\x8f\x8f\xf0\x9f\x8f\x86\xf0\x9f\x8e\x8a\nGet a chance to win 10000 mAh Glorious Power Bank and more exciting gifts. \nVisit https://t.co/\xe2\x80\xa6'
2019-06-14 16:48:51,b'@root66 and England pacers made sure @englandcricket record 8 wickets victory over @windiescricket to take England\xe2\x80\xa6 https://t.co/A2C8uOME8v'
2019-06-14 16:47:40,"b'This whole India Pakistan cricket ads are getting too much. @StarSportsIndia Stop doing this baap baap hota hai ad,\xe2\x80\xa6 https://t.co/DiQS0Nk1Ps'"
2019-06-14 16:47:24,b'@OptakTv B) Saurav Ganguly \n\n#OPTAKLEDTV #INDIAMAANGEWORLDCUP\n#rahuldravid #sachinTendulkar\n#sauravganguly\xe2\x80\xa6 https://t.co/B1Fx7LTQvg'
2019-06-14 16:43:45,"b""Don't cancel matches due to Rain.\nJust Give them Football.\xf0\x9f\x98\x89\n\n#BCCI\n#ICC\n#ShameOnICC"""
2019-06-14 16:43:42,b'#CWC19 #ENGvWI #INDvPAK\n\n#MichaelHolding to #ICC \n\nICC (International Clueless Clowns) https://t.co/Y7ybuFTPIw'
2019-06-14 16:41:19,b'#cricket #icc #crickets Live Cricket Steaming app https://t.co/gXAAiXccMB Afghanistan look to escape last place as\xe2\x80\xa6 https://t.co/vdmY0MuwTI'
2019-06-14 16:40:48,b'Concept &amp; Campaign:- @WebShakers_in \nScreenplay:- Avadhut Sawant\nSinger:- MC Altaf\nLyrics:- Mrityunjai Bisht\nDirect\xe2\x80\xa6 https://t.co/iJTevRlCqj'
2019-06-14 16:40:39,b'@root66 hammered blistering ton opening the innings to take @englandcricket to 8 wickets victory over\xe2\x80\xa6 https://t.co/2mxR13Uh8U'
2019-06-14 16:40:30,"b""They Don't Have the ManPower to cover the whole Ground #ECB Calling itself expensive #WorldCup2019 #CWC19 #CWC2019\xe2\x80\xa6 https://t.co/R9PNdnjqo9"""
2019-06-14 16:40:07,b'Greedy #ICC must have tried so hard to put an offer on table for playing #CWC19  in round-robin format. \nBut all \xf0\x9f\x99\x8f\xe2\x80\xa6 https://t.co/srlCceBNMB'
2019-06-14 16:39:18,b'Jeff Hardy All Face Paint HD Video\nLink https://t.co/WQLJwvUkQE\n\n#hkunv\n#Joeroot\n Joe root \n#ICC  #ENGvWI\n#Root\xe2\x80\xa6 https://t.co/0xqDXlDxN7'
2019-06-14 16:36:28,b'RT @Epkameter: Yes everyone loves &amp; support this best bowler of Indian cricket team\n\n#WeWantSreesanthBackInCricket \n\nHe deserves a chance t\xe2\x80\xa6'
2019-06-14 16:35:53,b'RT @raj20k: Shame on #ICC for organizing such an important tournament at such a time when half the matches are getting washed away! Get a l\xe2\x80\xa6'
2019-06-14 16:35:14,b'#ICC Icc should planed properly for this rainy circumstances. Match cancel is not good for cricket. Every cricket l\xe2\x80\xa6 https://t.co/zIKsrhijyt'
2019-06-14 16:34:46,b'RT @FirstpostSports: It is unimaginable that the #ICC planned #CWC19 without providing for rain and such interruptions which are pretty nor\xe2\x80\xa6'
2019-06-14 16:31:55,"b""@gonoise No Noise when it's @gonoise.\n\n#noiseforindia #WorldCup2019 #noise4india #TeamIndia #ICC #MenInBlue #gameon\xe2\x80\xa6 https://t.co/7u3eMGHvKn"""
2019-06-14 16:31:07,b'RT @iamtamimm: @ICC Find this person to... #icc https://t.co/0TGH7pxq9g'
